"January 31,2007,"The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent. Recent indicators have suggested somewhat firmer economic growth, and some tentative signs of stabilization have appeared in the housing market. Overall, the economy seems likely to expand at a moderate pace over coming quarters. Readings on core inflation have improved modestly in recent months, and inflation pressures seem likely to moderate over time. However, the high level of resource utilization has the potential to sustain inflation pressures. The Committee judges that some inflation risks remain. The extent and timing of any additional firming that may be needed to address these risks will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information.",,,,,,,,,,,,,,,
"March 21,2007,"The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent.Recent indicators have been mixed and the adjustment in the housing sector is ongoing. Nevertheless, the economy seems likely to continue to expand at a moderate pace over coming quarters. Recent readings on core inflation have been somewhat elevated. Although inflation pressures seem likely to moderate over time, the high level of resource utilization has the potential to sustain those pressures.In these circumstances,' the Committee''s predominant policy concern remains the risk that inflation will fail to moderate as expected. Future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth', as implied by incoming information.",,,,,,,,,,,,,,,,
"May 09,2007,"The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent. Economic growth slowed in the first part of this year and the adjustment in the housing sector is ongoing. Nevertheless, the economy seems likely to expand at a moderate pace over coming quarters. Core inflation remains somewhat elevated. Although inflation pressures seem likely to moderate over time, the high level of resource utilization has the potential to sustain those pressures. In these circumstances,' the Committee''s predominant policy concern remains the risk that inflation will fail to moderate as expected. Future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth', as implied by incoming information.",,,,,,,,,,,,,,,,
"June 28,2007,"The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent. Economic growth appears to have been moderate during the first half of this year, despite the ongoing adjustment in the housing sector. The economy seems likely to continue to expand at a moderate pace over coming quarters.Readings on core inflation have improved modestly in recent months. However, a sustained moderation in inflation pressures has yet to be convincingly demonstrated. Moreover, the high level of resource utilization has the potential to sustain those pressures.In these circumstances,' the Committee''s predominant policy concern remains the risk that inflation will fail to moderate as expected. Future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth', as implied by incoming information.",,,,,,,,,,,,,,,
"August 07,2007,"The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent.Economic growth was moderate during the first half of the year. Financial markets have been volatile in recent weeks, credit conditions have become tighter for some households and businesses, and the housing correction is ongoing. Nevertheless, the economy seems likely to continue to expand at a moderate pace over coming quarters, supported by solid growth in employment and incomes and a robust global economy.Readings on core inflation have improved modestly in recent months. However, a sustained moderation in inflation pressures has yet to be convincingly demonstrated. Moreover, the high level of resource utilization has the potential to sustain those pressures.Although the downside risks to growth have increased somewhat,' the Committee''s predominant policy concern remains the risk that inflation will fail to moderate as expected. Future policy adjustments will depend on the outlook for both inflation and economic growth', as implied by incoming information.",,,,,,,,,,,,
"August 10,2007,'"The Federal Reserve is providing liquidity to facilitate the orderly functioning of financial markets.The Federal Reserve will provide reserves as necessary through open market operations to promote trading in the federal funds market at rates close to the Federal Open Market Committee''s target rate of 5-1/4 percent. In current circumstances', depository institutions may experience unusual funding needs because of dislocations in money and credit markets. As always, the discount window is available as a source of funding.",,,,,,,,,,,,,,,,,,
"August 17,2007,"Financial market conditions have deteriorated, and tighter credit conditions and increased uncertainty have the potential to restrain economic growth going forward. In these circumstances, although recent data suggest that the economy has continued to expand at a moderate pace, the Federal Open Market Committee judges that the downside risks to growth have increased appreciably. The Committee is monitoring the situation and is prepared to act as needed to mitigate the adverse effects on the economy arising from the disruptions in financial markets. Voting in favor of the policy announcement were: Ben S. Bernanke, Chairman; Timothy F. Geithner, Vice Chairman; Richard W. Fisher; Thomas M. Hoenig; Donald L. Kohn; Randall S. Kroszner; Frederic S. Mishkin; Michael H. Moskow; Eric Rosengren; and Kevin M. Warsh.",,,,,,,,,,,,,,,
"September 18,2007,"The Federal Open Market Committee decided today to lower its target for the federal funds rate 50 basis points to 4-3/4 percent.Economic growth was moderate during the first half of the year, but the tightening of credit conditions has the potential to intensify the housing correction and to restrain economic growth more generally.  Today’s action is intended to help forestall some of the adverse effects on the broader economy that might otherwise arise from the disruptions in financial markets and to promote moderate growth over time.  Readings on core inflation have improved modestly this year.  However, the Committee judges that some inflation risks remain, and it will continue to monitor inflation developments carefully.  Developments in financial markets since the Committee’s last regular meeting have increased the uncertainty surrounding the economic outlook.  The Committee will continue to assess the effects of these and other developments on economic prospects and will act as needed to foster price stability and sustainable economic growth.In a related action, the Board of Governors unanimously approved a 50-basis-point decrease in the discount rate to 5-1/4 percent.  In taking this action, the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Cleveland, St. Louis, Minneapolis, Kansas City, and San Francisco.",,,,,,,,,
"October 31,2007,"The Federal Open Market Committee decided today to lower its target for the federal funds rate 25 basis points to 4-1/2 percent.Economic growth was solid in the third quarter, and strains in financial markets have eased somewhat on balance.  However, the pace of economic expansion will likely slow in the near term, partly reflecting the intensification of the housing correction.  Today’s action, combined with the policy action taken in September, should help forestall some of the adverse effects on the broader economy that might otherwise arise from the disruptions in financial markets and promote moderate growth over time.Readings on core inflation have improved modestly this year, but recent increases in energy and commodity prices, among other factors, may put renewed upward pressure on inflation.  In this context, the Committee judges that some inflation risks remain, and it will continue to monitor inflation developments carefully. The Committee judges that, after this action, the upside risks to inflation roughly balance the downside risks to growth.  The Committee will continue to assess the effects of financial and other developments on economic prospects and will act as needed to foster price stability and sustainable economic growth. In a related action, the Board of Governors unanimously approved a 25-basis-point decrease in the discount rate to 5 percent.  In taking this action, the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of New York, Richmond, Atlanta, Chicago, St. Louis, and San Francisco.",
"December 11,2007,"The Federal Open Market Committee decided today to lower its target for the federal funds rate 25 basis points to 4-1/4 percent.Incoming information suggests that economic growth is slowing, reflecting the intensification of the housing correction and some softening in business and consumer spending. Moreover, strains in financial markets have increased in recent weeks.  Today’s action, combined with the policy actions taken earlier, should help promote moderate growth over time. Readings on core inflation have improved modestly this year, but elevated energy and commodity prices, among other factors, may put upward pressure on inflation.  In this context, the Committee judges that some inflation risks remain, and it will continue to monitor inflation developments carefully.Recent developments, including the deterioration in financial market conditions, have increased the uncertainty surrounding the outlook for economic growth and inflation.  The Committee will continue to assess the effects of financial and other developments on economic prospects and will act as needed to foster price stability and sustainable economic growth.In a related action, the Board of Governors unanimously approved a 25-basis-point decrease in the discount rate to 4-3/4 percent.  In taking this action, the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, and St. Louis.",
"January 31,2006,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 4-1/2 percent. Although recent economic data have been uneven, the expansion in economic activity appears solid. Core inflation has stayed relatively low in recent months and longer-term inflation expectations remain contained. Nevertheless, possible increases in resource utilization as well as elevated energy prices have the potential to add to inflation pressures. The Committee judges that some further policy firming may be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance. In any event, the Committee will respond to changes in economic prospects as needed to foster these objectives. In a related action, the Board of Governors unanimously approved a 25-basis-point increase in the discount rate to 5-1/2 percent. In taking this action, the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Kansas City, Dallas, and San Francisco.",,,,,
