,,"Effective federal funds rate (% p.a.), last business day of month",Wu-Xia shadow federal funds rate (last business day of month),Change,Direction of Change ,,,,,,,,,,
January,1960,4.00,,,,,,,,,,,,,
February,1960,4.00,,,,,,,,,,,,,
March,1960,4.00,,,,,,,,,,,,,
April,1960,4.00,,,,,,,,,,,,,
May,1960,3.50,,,,,,,,,,,,,
June,1960,3.50,,,,,,,,,,,,,
July,1960,3.25,,,,,,,,,,,,,
August,1960,3.00,,,,,,,,,,,,,
September,1960,3.00,,,,,,,,,,,,,
October,1960,2.75,,,,,,,,,,,,,
November,1960,0.25,,,,,,,,,,,,,
December,1960,3.00,,,,,,,,,,,,,
January,1961,2.25,,,,,,,,,,,,,
February,1961,2.00,,,,,,,,,,,,,
March,1961,2.00,,,,,,,,,,,,,
April,1961,0.50,,,,,,,,,,,,,
May,1961,1.00,,,,,,,,,,,,,
June,1961,0.50,,,,,,,,,,,,,
July,1961,2.50,,,,,,,,,,,,,
August,1961,1.75,,,,,,,,,,,,,
September,1961,1.50,,,,,,,,,,,,,
October,1961,2.00,,,,,,,,,,,,,
November,1961,1.75,,,,,,,,,,,,,
December,1961,2.50,,,,,,,,,,,,,
January,1962,1.50,,,,,,,,,,,,,
February,1962,2.75,,,,,,,,,,,,,
March,1962,2.75,,,,,,,,,,,,,
April,1962,2.50,,,,,,,,,,,,,
May,1962,2.75,,,,,,,,,,,,,
June,1962,2.75,,,,,,,,,,,,,
July,1962,2.75,,,,,,,,,,,,,
August,1962,3.00,,,,,,,,,,,,,
September,1962,2.75,,,,,,,,,,,,,
October,1962,3.00,,,,,,,,,,,,,
November,1962,2.88,,,,,,,,,,,,,
December,1962,3.00,,,,,,,,,,,,,
January,1963,3.00,,,,,,,,,,,,,
February,1963,3.00,,,,,,,,,,,,,
March,1963,3.00,,,,,,,,,,,,,
April,1963,3.00,,,,,,,,,,,,,
May,1963,3.00,,,,,,,,,,,,,
June,1963,3.00,,,,,,,,,,,,,
July,1963,3.50,,,,,,,,,,,,,
August,1963,3.50,,,,,,,,,,,,,
September,1963,3.50,,,,,,,,,,,,,
October,1963,3.50,,,,,,,,,,,,,
November,1963,3.50,,,,,,,,,,,,,
December,1963,3.25,,,,,,,,,,,,,
January,1964,3.50,,,,,,,,,,,,,
February,1964,3.50,,,,,,,,,,,,,
March,1964,3.50,,,,,,,,,,,,,
April,1964,3.50,,,,,,,,,,,,,
May,1964,3.50,,,,,,,,,,,,,
June,1964,3.50,,,,,,,,,,,,,
July,1964,3.50,,,,,,,,,,,,,
August,1964,3.50,,,,,,,,,,,,,
September,1964,2.75,,,,,,,,,,,,,
October,1964,3.50,,,,,,,,,,,,,
November,1964,4.00,,,,,,,,,,,,,
December,1964,4.00,,,,,,,,,,,,,
January,1965,4.00,,,,,,,,,,,,,
February,1965,4.00,,,,,,,,,,,,,
March,1965,4.00,,,,,,,,,,,,,
April,1965,4.13,,,,,,,,,,,,,
May,1965,4.13,,,,,,,,,,,,,
June,1965,4.13,,,,,,,,,,,,,
July,1965,4.13,,,,,,,,,,,,,
August,1965,4.00,,,,,,,,,,,,,
September,1965,4.13,,,,,,,,,,,,,
October,1965,4.13,,,,,,,,,,,,,
November,1965,4.13,,,,,,,,,,,,,
December,1965,4.63,,,,,,,,,,,,,
January,1966,4.50,,,,,,,,,,,,,
February,1966,4.63,,,,,,,,,,,,,
March,1966,4.75,,,,,,,,,,,,,
April,1966,4.63,,,,,,,,,,,,,
May,1966,4.75,,,,,,,,,,,,,
June,1966,5.50,,,,,,,,,,,,,
July,1966,5.75,,,,,,,,,,,,,
August,1966,4.50,,,,,,,,,,,,,
September,1966,5.75,,,,,,,,,,,,,
October,1966,5.75,,,,,,,,,,,,,
November,1966,5.75,,,,,,,,,,,,,
December,1966,5.00,,,,,,,,,,,,,
January,1967,4.00,,,,,,,,,,,,,
February,1967,4.75,,,,,,,,,,,,,
March,1967,4.50,,,,,,,,,,,,,
April,1967,4.00,,,,,,,,,,,,,
May,1967,4.13,,,,,,,,,,,,,
June,1967,3.50,,,,,,,,,,,,,
July,1967,3.75,,,,,,,,,,,,,
August,1967,4.00,,,,,,,,,,,,,
September,1967,3.75,,,,,,,,,,,,,
October,1967,4.13,,,,,,,,,,,,,
November,1967,4.50,,,,,,,,,,,,,
December,1967,4.50,,,,,,,,,,,,,
January,1968,4.75,,,,,,,,,,,,,
February,1968,4.75,,,,,,,,,,,,,
March,1968,5.25,,,,,,,,,,,,,
April,1968,6.25,,,,,,,,,,,,,
May,1968,6.13,,,,,,,,,,,,,
June,1968,5.50,,,,,,,,,,,,,
July,1968,6.00,,,,,,,,,,,,,
August,1968,5.75,,,,,,,,,,,,,
September,1968,5.50,,,,,,,,,,,,,
October,1968,6.00,,,,,,,,,,,,,
November,1968,6.00,,,,,,,,,,,,,
December,1968,4.00,,,,,,,,,,,,,
January,1969,6.38,,,,,,,,,,,,,
February,1969,7.00,,,,,,,,,,,,,
March,1969,6.25,,,,,,,,,,,,,
April,1969,8.00,,,,,,,,,,,,,
May,1969,9.38,,,,,,,,,,,,,
June,1969,7.50,,,,,,,,,,,,,
July,1969,8.75,,,,,,,,,,,,,
August,1969,9.75,,,,,,,,,,,,,
September,1969,8.50,,,,,,,,,,,,,
October,1969,9.00,,,,,,,,,,,,,
November,1969,9.25,,,,,,,,,,,,,
December,1969,5.00,,,,,,,,,,,,,
January,1970,9.38,,,,,,,,,,,,,
February,1970,8.50,,,,,,,,,,,,,
March,1970,7.50,,,,,,,,,,,,,
April,1970,8.50,,,,,,,,,,,,,
May,1970,7.88,,,,,,,,,,,,,
June,1970,5.75,,,,,,,,,,,,,
July,1970,6.75,,,,,,,,,,,,,
August,1970,6.50,,,,,,,,,,,,,
September,1970,5.00,,,,,,,,,,,,,
October,1970,6.13,,,,,,,,,,,,,
November,1970,5.50,,,,,,,,,,,,,
December,1970,3.00,,,,,,,,,,,,,
January,1971,4.00,,,,,,,,,,,,,
February,1971,3.38,,,,,,,,,,,,,
March,1971,4.50,,,,,,,,,,,,,
April,1971,4.25,,,,,,,,,,,,,
May,1971,4.88,,,,,,,,,,,,,
June,1971,4.75,,,,,,,,,,,,,
July,1971,5.50,,,,,,,,,,,,,
August,1971,5.75,,,,,,,,,,,,,
September,1971,5.38,,,,,,,,,,,,,
