,month,year,Change,increase
0,February,1994,0.07,True
1,March,1994,0.03,True
2,April,1994,0.07,True
3,May,1994,0.13,True
4,June,1994,0.06,True
5,July,1994,0.0,True
6,August,1994,0.05,True
7,September,1994,0.06,True
8,October,1994,0.01,True
9,November,1994,0.11,True
10,December,1994,0.03,True
11,January,1995,0.01,True
12,February,1995,0.07,True
13,March,1995,0.01,True
14,April,1995,0.01,True
15,May,1995,-0.01,False
16,June,1995,0.0,False
17,July,1995,-0.03,False
18,August,1995,-0.02,False
19,September,1995,0.01,True
20,October,1995,-0.01,False
21,November,1995,0.01,True
22,December,1995,-0.03,False
23,January,1996,-0.01,False
24,February,1996,-0.06,False
25,March,1996,0.02,True
26,April,1996,-0.02,False
27,May,1996,0.0,True
28,June,1996,0.01,True
29,July,1996,0.02,True
30,August,1996,-0.03,False
31,September,1996,0.02,True
32,October,1996,-0.01,False
33,November,1996,0.01,True
34,December,1996,0.0,False
35,January,1997,-0.01,False
36,February,1997,-0.01,False
37,March,1997,0.04,True
38,April,1997,0.02,True
39,May,1997,0.0,False
40,June,1997,0.01,True
41,July,1997,-0.01,False
42,August,1997,0.0,True
43,September,1997,0.0,False
44,October,1997,-0.01,False
45,November,1997,0.0,True
46,December,1997,0.0,False
47,January,1998,0.01,True
48,February,1998,-0.01,False
49,March,1998,0.0,False
50,April,1998,-0.01,False
51,May,1998,0.01,True
52,June,1998,0.01,True
53,July,1998,0.0,False
54,August,1998,0.0,True
55,September,1998,-0.01,False
56,October,1998,-0.08,False
57,November,1998,-0.05,False
58,December,1998,-0.03,False
59,January,1999,-0.01,False
60,February,1999,0.03,True
61,March,1999,0.01,True
62,April,1999,-0.01,False
63,May,1999,0.0,False
64,June,1999,0.0,True
65,July,1999,0.05,True
66,August,1999,0.02,True
67,September,1999,0.03,True
68,October,1999,0.0,False
69,November,1999,0.04,True
70,December,1999,-0.02,False
71,January,2000,0.03,True
72,February,2000,0.05,True
73,March,2000,0.02,True
74,April,2000,0.03,True
75,May,2000,0.04,True
76,June,2000,0.04,True
77,July,2000,0.0,True
78,August,2000,-0.01,False
79,September,2000,0.0,True
80,October,2000,0.0,False
81,November,2000,0.0,False
82,December,2000,-0.02,False
83,January,2001,-0.07,False
84,February,2001,-0.08,False
85,March,2001,-0.03,False
86,April,2001,-0.1,False
87,May,2001,-0.12,False
88,June,2001,-0.06,False
89,July,2001,-0.05,False
90,August,2001,-0.03,False
91,September,2001,-0.16,False
92,October,2001,-0.19,False
93,November,2001,-0.16,False
94,December,2001,-0.13,False
95,January,2002,-0.05,False
96,February,2002,0.01,True
97,March,2002,-0.01,False
98,April,2002,0.01,True
99,May,2002,0.0,False
100,June,2002,0.0,False
101,July,2002,-0.01,False
102,August,2002,0.01,True
103,September,2002,0.01,True
104,October,2002,0.0,False
105,November,2002,-0.23,False
106,December,2002,-0.07,False
107,January,2003,0.0,False
108,February,2003,0.02,True
109,March,2003,-0.01,False
110,April,2003,0.01,True
111,May,2003,0.0,False
112,June,2003,-0.03,False
113,July,2003,-0.17,False
114,August,2003,0.02,True
115,September,2003,-0.02,False
