,date,text
0,"February 2, 2005","For immediate release      The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 2-1/2 percent. The Committee believes that, even after this action, the stance of monetary policy remains accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity.  Output appears to be growing at a moderate pace despite the rise in energy prices, and labor market conditions continue to improve gradually.  Inflation and longer-term inflation expectations remain well contained. The Committee perceives the upside and downside risks to the attainment of both sustainable growth and price stability for the next few quarters to be roughly equal.  With underlying inflation expected to be relatively low, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured.  Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability. Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman; Timothy F. Geithner, Vice Chairman; Ben S. Bernanke; Susan S. Bies; Roger W. Ferguson, Jr.; Edward M. Gramlich; Jack Guynn; Donald L. Kohn; Michael H. Moskow; Mark W. Olson; Anthony M. Santomero; and Gary H. Stern.In a related action, the Board of Governors unanimously approved a 25-basis-point increase in the discount rate to 3-1/2 percent.  In taking this action, the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Minneapolis, Kansas City, Dallas, and San Francisco.                      2005 Monetary policy       "
1,"March 22, 2005","For immediate releaseThe Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 2-3/4 percent. The Committee believes that, even after this action, the stance of monetary policy remains accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity.  Output evidently continues to grow at a solid pace despite the rise in energy prices, and labor market conditions continue to improve gradually.  Though longer-term inflation expectations remain well contained, pressures on inflation have picked up in recent months and pricing power is more evident.  The rise in energy prices, however, has not notably fed through to core consumer prices. The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal.  With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured.  Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability. Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman;Timothy F. Geithner, Vice Chairman; Ben S. Bernanke; Susan S. Bies; Roger W. Ferguson, Jr.; Edward M. Gramlich; Jack Guynn; Donald L. Kohn; Michael H. Moskow; Mark W. Olson; Anthony M. Santomero; and Gary H. Stern.In a related action, the Board of Governors unanimously approved a 25-basis-point increase in the discount rate to 3-3/4 percent.  In taking this action, the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Minneapolis, and San Francisco.                2005 Monetary policy       "
2,"May 3, 2005","For immediate releaseThe Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 3 percent. The Committee believes that, even after this action, the stance of monetary policy remains accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity.  Recent data suggest that the solid pace of spending growth has slowed somewhat, partly in response to the earlier increases in energy prices.  Labor market conditions, however, apparently continue to improve gradually.  Pressures on inflation have picked up in recent months and pricing power is more evident.  Longer-term inflation expectations remain well contained.The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal.  With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured.  Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability. Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman;Timothy F. Geithner, Vice Chairman; Susan S. Bies; Roger W. Ferguson, Jr.; Richard W. Fisher; Edward M. Gramlich; Donald L. Kohn; Michael H. Moskow; Mark W. Olson; Anthony M. Santomero; and Gary H. Stern. In a related action, the Board of Governors unanimously approved a 25-basis-point increase in the discount rate to 4 percent.  In taking this action, the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Minneapolis, Kansas City, Dallas, and San Francisco.                2005 Monetary policy       "
3,"June 30, 2005","For immediate releaseThe Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 3-1/4 percent.The Committee believes that, even after this action, the stance of monetary policy remains accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity.  Although energy prices have risen further, the expansion remains firm and labor market conditions continue to improve gradually.  Pressures on inflation have stayed elevated, but longer-term inflation expectations remain well contained.The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal.  With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured.  Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability. Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman;Timothy F. Geithner, Vice Chairman; Susan S. Bies; Roger W. Ferguson, Jr.; Richard W. Fisher; Edward M. Gramlich; Donald L. Kohn; Michael H. Moskow; Mark W. Olson; Anthony M. Santomero; and Gary H. Stern.In a related action, the Board of Governors unanimously approved a 25-basis-point increase in the discount rate to 4-1/4 percent.  In taking this action, the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Minneapolis, Kansas City, Dallas, and San Francisco.                2005 Monetary policy       "
4,"August 9, 2005","For immediate releaseThe Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 3-1/2 percent.The Committee believes that, even after this action, the stance of monetary policy remains accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity.  Aggregate spending, despite high energy prices, appears to have strengthened since late winter, and labor market conditions continue to improve gradually.  Core inflation has been relatively low in recent months and longer-term inflation expectations remain well contained, but pressures on inflation have stayed elevated.The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal.  With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured.  Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman;Timothy F. Geithner, Vice Chairman; Susan S. Bies; Roger W. Ferguson, Jr.; Richard W. Fisher; Donald L. Kohn; Michael H. Moskow; Mark W. Olson;  Anthony M. Santomero; and Gary H. Stern.In a related action, the Board of Governors unanimously approved a 25-basis-point increase in the discount rate to 4-1/2 percent.  In taking this action, the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Minneapolis, Kansas City, Dallas, and San Francisco.                2005 Monetary policy       "
5,"September 20, 2005","For immediate releaseThe Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 3-3/4 percent.	Output appeared poised to continue growing at a good pace before the tragic toll of Hurricane Katrina.  The widespread devastation in the Gulf region, the associated dislocation of economic activity, and the boost to energy prices imply that spending, production, and employment will be set back in the near term.  In addition to elevating premiums for some energy products, the disruption to the production and refining infrastructure may add to energy price volatility.	While these unfortunate developments have increased uncertainty about near-term economic performance, it is the Committee's view that they do not pose a more persistent threat.  Rather, monetary policy accommodation, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity.  Higher energy and other costs have the potential to add to inflation pressures.  However, core inflation has been relatively low in recent months and longer-term inflation expectations remain contained.	The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal.  With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured.  Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.	Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman; Timothy F. Geithner, Vice Chairman; Susan S. Bies; Roger W. Ferguson, Jr.; Richard W. Fisher; Donald L. Kohn; Michael H. Moskow; Anthony M. Santomero; and Gary H. Stern. Voting against was Mark W. Olson, who preferred no change in the federal funds rate target at this meeting.In a related action, the Board of Governors unanimously approved a 25-basis-point increase in the discount rate to 4-3/4 percent.  In taking this action, the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Richmond, Chicago, Minneapolis, and Kansas City.                2005 Monetary policy       "
6,"November 1, 2005","For immediate release      The Federal Open Market Committee decided today to raise its target for         the federal funds rate by 25 basis points to 4 percent.       Elevated energy prices and hurricane-related disruptions in economic         activity have temporarily depressed output and employment. However, monetary         policy accommodation, coupled with robust underlying growth in productivity,         is providing ongoing support to economic activity that will likely be         augmented by planned rebuilding in the hurricane-affected areas. The cumulative         rise in energy and other costs has the potential to add to inflation         pressures; however, core inflation has been relatively low in recent months         and longer-term inflation expectations remain contained.       The Committee perceives that, with appropriate monetary policy action,         the upside and downside risks to the attainment of both sustainable growth         and price stability should be kept roughly equal. With underlying inflation         expected to be contained, the Committee believes that policy accommodation         can be removed at a pace that is likely to be measured. Nonetheless, the         Committee will respond to changes in economic prospects as needed to fulfill         its obligation to maintain price stability.       Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman;         Timothy F. Geithner, Vice Chairman; Susan S. Bies; Roger W. Ferguson,         Jr.; Richard W. Fisher; Donald L. Kohn; Michael H. Moskow; Mark W. Olson;         Anthony M. Santomero; and Gary H. Stern.       In a related action, the Board of Governors unanimously approved a 25-basis         point increase in the discount rate to 5 percent. In taking this action,         the Board approved the requests submitted by the Boards of Directors of         the Federal Reserve Banks of Boston, New York, Philadelphia, Cleveland,         Richmond, Atlanta, Chicago, St. Louis, Minneapolis, Kansas City, Dallas,         and San Francisco.                            2005 Monetary policy       "
7,"December 13, 2005","For immediate releaseThe Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 4-1/4 percent.Despite elevated energy prices and hurricane-related disruptions, the expansion in economic activity appears solid.  Core inflation has stayed relatively low in recent months and longer-term inflation expectations remain contained.  Nevertheless, possible increases in resource utilization as well as elevated energy prices have the potential to add to inflation pressures.The Committee judges that some further measured policy firming is likely to be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance.  In any event, the Committee will respond to changes in economic prospects as needed to foster these objectives.	Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman; Timothy F. Geithner, Vice Chairman; Susan S. Bies; Roger W. Ferguson, Jr.; Richard W. Fisher; Donald L. Kohn; Michael H. Moskow; Mark W. Olson; Anthony M. Santomero; and Gary H. Stern.In a related action, the Board of Governors unanimously approved a 25-basis point increase in the discount rate to 5-1/4 percent.  In taking this action, the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Minneapolis, Kansas City, Dallas, and San Francisco."
8,"January 28, 2004","For immediate release      The Federal Open Market Committee decided today to keep its target for the federal funds rate at 1 percent.The Committee continues to believe that an accommodative stance of monetary policy, coupled with robust underlying growth in productivity, is providing important ongoing support to economic activity.  The evidence accumulated over the intermeeting period confirms that output is expanding briskly.  Although new hiring remains subdued, other indicators suggest an improvement in the labor market.  Increases in core consumer prices are muted and expected to remain low.The Committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal.  The probability of an unwelcome fall in inflation has diminished in recent months and now appears almost equal to that of a rise in inflation.   With inflation quite low and resource use slack, the Committee believes that it can be patient in removing its policy accommodation.Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman; Timothy F. Geithner, Vice Chairman; Ben S. Bernanke; Susan S. Bies; Roger W. Ferguson, Jr.; Edward M. Gramlich; Thomas M. Hoenig; Donald L. Kohn; Cathy E. Minehan; Mark W. Olson; Sandra Pianalto; and William Poole.                      2004 Monetary policy        Home | News and events Accessibility       Last update: January 28, 2004        The Federal Open Market Committee decided today to keep its target for the federal funds rate at 1 percent.The Committee continues to believe that an accommodative stance of monetary policy, coupled with robust underlying growth in productivity, is providing important ongoing support to economic activity.  The evidence accumulated over the intermeeting period confirms that output is expanding briskly.  Although new hiring remains subdued, other indicators suggest an improvement in the labor market.  Increases in core consumer prices are muted and expected to remain low.The Committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal.  The probability of an unwelcome fall in inflation has diminished in recent months and now appears almost equal to that of a rise in inflation.   With inflation quite low and resource use slack, the Committee believes that it can be patient in removing its policy accommodation.Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman; Timothy F. Geithner, Vice Chairman; Ben S. Bernanke; Susan S. Bies; Roger W. Ferguson, Jr.; Edward M. Gramlich; Thomas M. Hoenig; Donald L. Kohn; Cathy E. Minehan; Mark W. Olson; Sandra Pianalto; and William Poole.                      2004 Monetary policy       "
9,"March 16, 2004","For immediate release      The Federal Open Market Committee decided today to keep its target for the federal funds rate at 1 percent.	The Committee continues to believe that an accommodative stance of monetary policy, coupled with robust underlying growth in productivity, is providing important ongoing support to economic activity.  The evidence accumulated over the intermeeting period indicates that output is continuing to expand at a solid pace.  Although job losses have slowed, new hiring has lagged.  Increases in core consumer prices are muted and expected to remain low.	The Committee perceives the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal.  The probability of an unwelcome fall in inflation has diminished in recent months and now appears almost equal to that of a rise in inflation.  With inflation quite low and resource use slack, the Committee believes that it can be patient in removing its policy accommodation.	Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman; Timothy F. Geithner, Vice Chairman; Ben S. Bernanke; Susan S. Bies; Roger W. Ferguson, Jr.; Edward M. Gramlich; Thomas M. Hoenig; Donald L. Kohn; Cathy E. Minehan; Mark W. Olson; Sandra Pianalto; and William Poole.                      2004 Monetary policy        Home | News and events Accessibility       Last update: March 16, 2004        The Federal Open Market Committee decided today to keep its target for the federal funds rate at 1 percent.	The Committee continues to believe that an accommodative stance of monetary policy, coupled with robust underlying growth in productivity, is providing important ongoing support to economic activity.  The evidence accumulated over the intermeeting period indicates that output is continuing to expand at a solid pace.  Although job losses have slowed, new hiring has lagged.  Increases in core consumer prices are muted and expected to remain low.	The Committee perceives the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal.  The probability of an unwelcome fall in inflation has diminished in recent months and now appears almost equal to that of a rise in inflation.  With inflation quite low and resource use slack, the Committee believes that it can be patient in removing its policy accommodation.	Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman; Timothy F. Geithner, Vice Chairman; Ben S. Bernanke; Susan S. Bies; Roger W. Ferguson, Jr.; Edward M. Gramlich; Thomas M. Hoenig; Donald L. Kohn; Cathy E. Minehan; Mark W. Olson; Sandra Pianalto; and William Poole.                      2004 Monetary policy       "
